date,time,time_in_video,condition,sleep_deprivation_days,time_elapsed
2020-04-15,11-07,00-12,treatment,12,50
2020-04-15,11-07,01-06,treatment,12,50
2020-04-15,11-07,02-03,treatment,12,49
2020-04-15,11-07,02-55,treatment,12,52
2020-04-15,11-07,03-52,treatment,12,42
2020-04-15,11-07,04-37,treatment,12,47
2020-04-15,11-07,05-30,treatment,12,45
2020-04-15,11-07,06-17,treatment,12,44
2020-04-15,11-07,07-04,treatment,12,51
2020-04-15,11-07,07-58,treatment,12,58
2020-04-15,11-07,09-04,treatment,12,46
2020-04-15,18-06,00-06,treatment,12,42
2020-04-15,18-06,00-51,treatment,12,64
2020-04-15,18-06,01-59,treatment,12,39
2020-04-15,18-06,02-41,treatment,12,44
2020-04-15,18-06,03-28,treatment,12,52
2020-04-15,18-06,04-21,treatment,12,53
2020-04-15,18-06,05-18,treatment,12,47
2020-04-15,18-06,06-07,treatment,12,48
2020-04-15,18-06,06-58,treatment,12,54
2020-04-15,18-06,07-55,treatment,12,51
2020-04-15,18-06,08-51,treatment,12,50
2020-04-16,00-22,00-06,treatment,12,51
2020-04-16,00-22,01-00,treatment,12,42
2020-04-16,00-22,01-43,treatment,12,47
2020-04-16,00-22,02-33,treatment,12,44
2020-04-16,00-22,03-18,treatment,12,50
2020-04-16,00-22,04-12,treatment,12,52
2020-04-16,00-22,05-07,treatment,12,43
2020-04-16,00-22,05-52,treatment,12,56
2020-04-16,00-22,06-50,treatment,12,43
2020-04-16,00-22,07-37,treatment,12,62
2020-04-16,00-22,08-47,treatment,12,49
2020-04-16,12-00,00-06,treatment,13,51
2020-04-16,12-00,01-01,treatment,13,48
2020-04-16,12-00,01-51,treatment,13,50
2020-04-16,12-00,02-44,treatment,13,56
2020-04-16,12-00,03-44,treatment,13,47
2020-04-16,12-00,04-33,treatment,13,46
2020-04-16,12-00,05-24,treatment,13,36
2020-04-16,12-00,06-04,treatment,13,43
2020-04-16,12-00,00-51,treatment,13,53
2020-04-16,12-00,07-47,treatment,13,45
2020-04-16,12-00,08-38,treatment,13,45
2020-04-16,18-02,00-09,treatment,13,41
2020-04-16,18-02,00-53,treatment,13,48
2020-04-16,18-02,01-45,treatment,13,49
2020-04-16,18-02,02-36,treatment,13,38
2020-04-16,18-02,03-17,treatment,13,53
2020-04-16,18-02,04-13,treatment,13,46
2020-04-16,18-02,05-01,treatment,13,46
2020-04-16,18-02,05-51,treatment,13,48
2020-04-16,18-02,06-43,treatment,13,49
2020-04-16,18-02,07-38,treatment,13,47
2020-04-16,18-02,08-28,treatment,13,55
2020-04-17,00-27,00-03,treatment,13,57
2020-04-17,00-27,01-12,treatment,13,51
2020-04-17,00-27,02-06,treatment,13,47
2020-04-17,00-27,02-55,treatment,13,54
2020-04-17,00-27,03-52,treatment,13,41
2020-04-17,00-27,04-57,treatment,13,53
2020-04-17,00-27,05-54,treatment,13,49
2020-04-17,00-27,06-45,treatment,13,54
2020-04-17,00-27,07-42,treatment,13,48
2020-04-17,00-27,08-33,treatment,13,38
2020-04-17,00-27,09-14,treatment,13,48
2020-04-17,12-08,00-06,treatment,14,51
2020-04-17,12-08,01-00,treatment,14,62
2020-04-17,12-08,02-05,treatment,14,48
2020-04-17,12-08,02-56,treatment,14,58
2020-04-17,12-08,03-59,treatment,14,59
2020-04-17,12-08,05-01,treatment,14,53
2020-04-17,12-08,05-58,treatment,14,44
2020-04-17,12-08,06-45,treatment,14,59
2020-04-17,12-08,07-49,treatment,14,59
2020-04-17,12-08,08-52,treatment,14,52
2020-04-17,12-08,09-48,treatment,14,48
2020-04-17,18-03,00-09,treatment,14,49
2020-04-17,18-03,01-01,treatment,14,46
2020-04-17,18-03,01-48,treatment,14,52
2020-04-17,18-03,02-43,treatment,14,44
2020-04-17,18-03,03-31,treatment,14,53
2020-04-17,18-03,04-26,treatment,14,45
2020-04-17,18-03,05-14,treatment,14,53
2020-04-17,18-03,06-09,treatment,14,52
2020-04-17,18-03,07-05,treatment,14,49
2020-04-17,18-03,07-59,treatment,14,44
2020-04-17,18-03,08-48,treatment,14,39
2020-04-17,22-04,00-09,treatment,14,52
2020-04-17,22-04,01-05,treatment,14,43
2020-04-17,22-04,01-51,treatment,14,44
2020-04-17,22-04,02-38,treatment,14,52
2020-04-17,22-04,03-33,treatment,14,62
2020-04-17,22-04,04-38,treatment,14,42
2020-04-17,22-04,05-26,treatment,14,48
2020-04-17,22-04,06-16,treatment,14,56
2020-04-17,22-04,07-14,treatment,14,44
2020-04-17,22-04,08-00,treatment,14,49
2020-04-17,22-04,08-52,treatment,14,67